comment,step,time,type,head_pan,head_tilt,head_sidetilt,r_arm,right_arm_shoulder_rotate,right_arm_shoulder_lift,right_arm_elbow_rotate,right_arm_elbow_bend,right_arm_wrist_bend,right_arm_wrist_rotate,right_arm_gripper_finger,l_arm,left_arm_shoulder_rotate,left_arm_shoulder_lift,left_arm_elbow_rotate,left_arm_elbow_bend,left_arm_wrist_bend,left_arm_wrist_rotate,left_arm_gripper_finger,param1,param2
veins,67,0.96,move,-0.0844,-0.1902,0.0215,R:,0.9986,0.3513,-0.2132,1.6,0,-0.1074,,L:,-0.3099,0.2218,-0.4725,1.7579,0,0.0445,,,
lesson,68,0.96,move,-0.4602,-0.3543,0.1012,R:,1.083,0.2516,-0.3988,2.0678,0,-0.1074,,L:,-0.3099,0.2157,-0.4648,1.5907,0,0.0445,,,
brain,69,0.96,move,0.0353,-0.2071,0.1473,R:,1.2287,0.2531,-0.3528,2.439,0,-0.0414,,L:,-0.3083,0.2126,-0.4633,1.7165,0,0.0491,,,
beauty,70,0.96,move,0.3436,-0.0828,-0.0644,R:,1.0769,0.2071,-1.1075,2.5065,0,-0.9603,,L:,0.8713,0.3722,-0.9741,2.6615,0,-0.0583,,,
PAIN,71,2.64,move,-0.1058,-0.4,0.043,R:,1.3453,0.3712,0.3007,2.0985,0,0.4633,1.5,L:,1.2011,0.6345,0.4449,1.8392,0,-0.7348,1.5,,
BRIGHT WHITE,72,0,lights,,,,,,,,,,,,,,,,,,,,24,
you made me,73,1.92,move,-0.25,-0.25,-0.1,,,,,,,,,,,,,,,,,,
a,76,0.96,move,0.3789,-0.112,0.1058,R:,1.2686,0.2945,-0.4341,1.534,0,0.4449,,L:,1.1658,0.2771,-0.316,2.0387,0,0.1304,,,
DIM WHITE,75,0,lights,,,,,,,,,,,,,,,,,,,,14,
you made me,77,0.96,move,0.1825,-0.1074,0.0399,R:,1.2625,0.3037,-0.115,2.166,0,0.4449,0,L:,1.0784,0.3262,0.0092,1.985,0,0.0522,0,,
a,78,0.96,move,-0.3728,-0.135,-0.0138,R:,1.2686,0.3912,-0.9311,1.5723,0,0.4449,,L:,1.0094,0.3584,-0.3881,1.988,0,0.0644,,,
Believer,79,0.96,move,-0.0031,-0.0491,0.1028,R:,1.2671,0.3574,-0.5369,1.8316,0,0.4449,,L:,1.0094,0.3584,-0.3881,1.988,0,0.0644,,,
Believer,80,0.96,move,0.1871,-0.0706,0.0798,R:,1.2625,0.3129,-1.4036,1.5202,0,1.1229,,L:,0.6627,0.6222,-0.2516,1.9451,0,0.1994,,,
PAIN,81,0.96,move,-0.1058,-0.4,0.043,R:,1.3453,0.3712,0.3007,2.0985,0,0.4633,1.5,L:,1.2011,0.6345,0.4449,1.8392,0,-0.7348,1.5,,
BRIGHT WHITE,82,0.96,lights,,,,,,,,,,,,,,,,,,,,24,
puch me down,83,0.96,move,-0.54,-0.1519,-0.0859,R:,0.9449,0.2823,-1.2747,1.0769,0,0.7455,,L:,1.1658,0.2771,-0.316,2.0387,0,0.1304,,,
you build,85,0.96,move,-0.0506,-0.1687,0.227,R:,0.9541,0.2961,-1.0431,2.5249,0,0.744,0,L:,1.1658,0.2771,-0.316,2.0387,0,0.1304,0,,
DIM WHITE,84,0,lights,,,,,,,,,,,,,,,,,,,,14,
believer,86,1.92,move,0.3252,-0.1902,0.0598,R:,0.9971,0.4096,-0.3436,2.4083,0,0.744,,L:,1.0784,0.3262,0.0092,1.985,0,0.0522,,,
believer,87,1.92,move,0.4985,-0.2623,0.0813,R:,1.2809,0.9449,0.3467,1.8469,0,0.7455,,L:,1.5,0.3584,-0.3881,1.988,0,0.0644,,,
PAIN,88,0.96,move,0.4418,-0.2838,0.0537,R:,1.3453,0.3712,0.3007,2.0985,0,0.4633,,L:,1.2011,0.6345,0.4449,1.8392,0,-0.7348,,,
oh let the bullets,89,0.96,move,0.2224,-0.2393,-0.1365,R:,0.9572,0.3129,-0.9388,1.5405,0,0.7655,,L:,1.1658,0.2771,-0.316,2.0387,0,0.1304,,,
fly oh let them,90,0.96,move,0.1197,-0.3559,-0.1135,,1.3,,,,,,,,,,,,,,,,
rain,91,0.96,move,-0.3973,-0.2899,0.0706,R:,0.8636,0.2761,-1.5125,1.2517,0,0.7655,,L:,1.1658,0.2771,0.5,2.0387,0,0.1304,,,
,92,0.96,move,-0.3298,-0.1917,-0.0123,,0.61,,,,,,,,,,,,,,,,
my life my love,93,0.96,move,-0.1856,-0.1779,0.0015,R:,1.0707,0.3329,-1.2993,2.5357,0,0.7655,,L:,1.0784,0.3262,0.0092,1.985,0,0.0522,,,
my drive,94,0.96,move,0.0629,-0.2316,0.0552,R:,1.017,0.3651,-0.8452,2.3163,0,0.7655,,L:,1.0094,0.3584,-0.3881,1.988,0,0.0644,,,
it came from,70,0.96,move,0.3436,-0.0828,-0.0644,R:,1.0769,0.2071,-1.1075,2.5065,0,-0.9603,,L:,0.8713,0.3722,-0.9741,2.6615,0,-0.0583,,,
PAIN,95,0.96,move,-0.1058,-0.4,0.043,R:,1.3453,0.3712,0.3007,2.0985,0,0.4633,1.5,L:,1.2011,0.6345,0.4449,1.8392,0,-0.7348,1.5,,
BRIGHT WHITE,96,0.96,lights,,,,,,,,,,,,,,,,,,,,24,
,99,0,move,0.1197,-0.2086,-0.1687,,1.15,,,,,,,,,,,,,,,,
you made,100,0.96,move,0.0522,-0.1994,-0.1381,R:,1.1275,0.3543,-1.172,2.4897,0,0.4847,0,L:,1.1658,0.2771,-0.316,2.0387,0,0.1304,0,,
DIM WHITE,98,0.96,lights,,,,,,,,,,,,,,,,,,,,14,
believer,101,0.96,move,-0.3528,-0.2669,-0.2546,R:,1.1321,0.3283,-0.2869,2.2626,0,0.4847,0,L:,1.0784,0.3262,0.0092,1.985,0,0.0522,0,,
,102,0.96,move,-0.3436,-0.201,-0.0644,,1.05,,,,,,,,,,,,,,,,
believer,103,0.96,move,-0.204,-0.1135,0.069,R:,1.1321,0.3283,-0.2869,2.2626,0,0.4847,0,L:,1.0094,0.3584,-0.3881,1.988,0,0.0644,0,,
,104,0.96,move,-0.0537,-0.1749,0.0644,,1.05,,,,,,,,,,,,,,,,
DIM BLUE,176,0,lights,,,,,,,,,,,,,,,,,,,,13,
head center,177,0.96,move,0,-0.158,0,,,,,,,,,,,,,,,,,,
"head down, arms sleep",178,0.96,move,0,1.1428,0,R:,0,0.01,0,2.8,0,0.0015,0,L:,0,0.01,0,2.8,0,-0.0153,0,,
lights off,179,0,lights,,,,,,,,,,,,,,,,,,,,0,
final sleep,124,5,marker,,,,,,,,,,,,,,,,,,,,,
